Mask Name,OBJID,Velocity (km/s),Mask Name(Check),OBJID(Check),HI,CO,RA,Dec
A1M33P,RHeB_b_329648,-162.0,A1M33P,RHeB_b_329648,-154.82900990649694,,23.568791666666666,30.555083333333336
A1M33P,MS_329685,-150.0,A1M33P,MS_329685,-173.80377874994454,,23.566208333333332,30.56802777777778
A1M33P,RHeB_b_329767,-156.0,A1M33P,RHeB_b_329767,-167.86905750406484,,23.546499999999998,30.569222222222223
A1M33P,MS_329835,-156.0,A1M33P,MS_329835,-171.202888563441,-168.695888563441,23.561041666666664,30.563861111111112
A1M33P,RHeB_b_329964,-156.0,A1M33P,RHeB_b_329964,-158.599644522847,,23.563666666666663,30.556333333333335
A1M33P,MS_329968,-153.0,A1M33P,MS_329968,-168.89286867999164,-174.2748686799916,23.54895833333333,30.566666666666666
A1M33P,MS_330143,-156.0,A1M33P,MS_330143,-166.6700089115277,,23.547749999999997,30.572166666666668
A1M33P,RGB_331030,-147.0,A1M33P,RGB_331030,-160.03366558254777,,23.573999999999995,30.55525
A1M33P,RGB_332324,-159.0,A1M33P,RGB_332324,-167.59010645609195,-160.35310645609195,23.54520833333333,30.57011111111111
A1M33P,BHeB_b_336743,-159.0,A1M33P,BHeB_b_336743,-167.67143046480817,,23.538749999999997,30.57061111111111
A1M33P,RHeB_b_336852,-138.0,A1M33P,RHeB_b_336852,-156.33105638107372,,23.512291666666663,30.56652777777778
A1M33P,BHeB_b_336873,-167.99999999999997,A1M33P,BHeB_b_336873,-167.1896877806065,-163.6206877806065,23.53358333333333,30.564444444444444
A1M33P,MS_336906,-159.0,A1M33P,MS_336906,-170.34997929908707,,23.53741666666666,30.570444444444444
A1M33P,RHeB_b_344805,-135.0,A1M33P,RHeB_b_344805,-150.77329672626797,-148.51629672626797,23.497083333333332,30.564805555555555
A1M33P,RHeB_b_344870,-126.0,A1M33P,RHeB_b_344870,-153.6109243900742,-148.73792439007417,23.476333333333333,30.56736111111111
A1M33P,RHeB_b_344972,-144.0,A1M33P,RHeB_b_344972,-169.96961931506746,,23.483916666666666,30.572194444444445
A1M33P,BHeB_b_367030,-126.0,A1M33P,BHeB_b_367030,-141.98582967101916,,23.416166666666665,30.5795
A1M33P,BHeB_b_367041,-129.0,A1M33P,BHeB_b_367041,-142.1469480864214,,23.40233333333333,30.590888888888887
A1M33P,RHeB_b_367074,-114.0,A1M33P,RHeB_b_367074,-141.8170199149448,,23.417458333333332,30.583166666666667
A1M33P,MS_367311,-123.0,A1M33P,MS_367311,-143.65339156178004,,23.403916666666664,30.5875
A1M33P,BHeB_b_378480,-129.0,A1M33P,BHeB_b_378480,-160.09645079586613,,23.372541666666663,30.574444444444445
A1M33P,RGB_380335,-138.0,A1M33P,RGB_380335,-165.97125701748678,,23.371,30.57713888888889
A1M33P,RHeB_b_385234,-162.0,A1M33P,RHeB_b_385234,-152.09861685135607,,23.555749999999996,30.528499999999998
A1M33P,BHeB_b_388561,-144.0,A1M33P,BHeB_b_388561,-149.36966529464792,-136.53466529464794,23.498541666666664,30.55913888888889
A1M33P,MS_388571,-132.0,A1M33P,MS_388571,-140.14668702433866,,23.491625,30.549583333333334
A1M33P,BHeB_b_388753,-135.0,A1M33P,BHeB_b_388753,-143.45690316334358,,23.503249999999998,30.553472222222222
A1M33P,MS_388793,-129.0,A1M33P,MS_388793,-136.83831623675374,,23.51083333333333,30.520833333333332
A1M33P,MS_388823,-126.0,A1M33P,MS_388823,-146.0748823845002,,23.50904166666666,30.56425
A1M33P,AGB_388892,-126.0,A1M33P,AGB_388892,-154.01725088399823,,23.522999999999996,30.53913888888889
A1M33P,RHeB_b_394275,-120.0,A1M33P,RHeB_b_394275,-131.46024447472294,-143.90724447472294,23.461791666666663,30.553194444444443
A1M33P,RHeB_b_394292,-114.0,A1M33P,RHeB_b_394292,-135.21706101611215,-126.53406101611216,23.467125,30.555555555555557
A1M33P,MS_394302,-114.0,A1M33P,MS_394302,-137.9615287141328,,23.459166666666665,30.55602777777778
A1M33P,RGB_394735,-120.0,A1M33P,RGB_394735,-144.0486275480812,-122.34262754808124,23.47970833333333,30.555222222222223
A1M33P,AGB_395267,-126.0,A1M33P,AGB_395267,-144.79666669496706,-146.48266669496707,23.463166666666666,30.568305555555554
A1M33P,RGB_396936,-120.0,A1M33P,RGB_396936,-138.0695299820296,,23.451874999999998,30.561555555555557
A1M33P,RHeB_b_403384,-114.0,A1M33P,RHeB_b_403384,-130.3074633463597,-133.15846334635972,23.43145833333333,30.55086111111111
A1M33P,MS_403391,-117.0,A1M33P,MS_403391,-132.56896058594964,-136.11496058594963,23.447,30.551833333333335
A1M33P,RHeB_b_403430,-117.0,A1M33P,RHeB_b_403430,-133.71700386969638,,23.460374999999996,30.539472222222223
A1M33P,BHeB_b_403439,-102.0,A1M33P,BHeB_b_403439,-123.12950435493889,-125.8985043549389,23.44520833333333,30.539972222222225
A1M33P,MS_403488,-114.0,A1M33P,MS_403488,-137.93239884779547,,23.435916666666664,30.540916666666668
A1M33P,BHeB_b_403591,-114.0,A1M33P,BHeB_b_403591,-132.66651633651537,-136.30451633651535,23.434374999999996,30.552083333333336
